%units
	n_n2o = "ug:h-1:m-2"
	n_n2o_std = "ug:h-1:m-2"

%info
	author  = ""
	contact = ""
	date    = "2014-08-01 15:00:00"
	project = ""
	comment = ""

%data
date	time	n_n2o	n_n2o_std
2008-10-04	12:00	0.0011657	na
2008-10-05	12:00	0.00111636	na
2008-10-06	12:00	0.00106677	na
2008-10-07	12:00	0.00097663	na
2008-10-08	12:00	0.00091351	na
2008-10-09	12:00	0.00071472	na
2008-10-10	12:00	0.00066185	na
2008-10-11	12:00	0.00067631	na
2008-10-12	12:00	0.00069670	na
2008-10-13	12:00	0.00074848	na
2008-10-14	12:00	0.00076920	na
2008-10-15	12:00	0.00079441	na
2008-10-16	12:00	0.00079709	na
2008-10-17	12:00	0.00081152	na
2008-10-18	12:00	0.00080730	na
2008-10-19	12:00	0.00080255	na
2008-10-20	12:00	0.00079566	na
2008-10-21	12:00	0.00078411	na
2008-10-22	12:00	0.00074582	na
2008-10-23	12:00	0.00070258	na
2008-10-24	12:00	0.00067097	na
2008-10-25	12:00	0.00064854	na
2008-10-26	12:00	0.00063475	na
2008-10-27	12:00	0.00063537	na
2008-10-28	12:00	0.00063310	na
2008-10-29	12:00	0.00065671	na
2008-10-30	12:00	0.00070454	na
2008-10-31	12:00	0.00073539	na
2008-11-01	12:00	0.00074978	na
2008-11-02	12:00	0.00078005	na
2008-11-03	12:00	0.00072265	na
2008-11-04	12:00	0.00073388	na
2008-11-05	12:00	0.00075295	na
2008-11-06	12:00	0.00074017	na
2008-11-07	12:00	0.00077134	na
2008-11-08	12:00	0.00078970	na
2008-11-09	12:00	0.00071705	na
2008-11-10	12:00	0.00063627	na
2008-11-11	12:00	0.00058116	na
2008-11-12	12:00	0.00054184	na
2008-11-13	12:00	0.00053274	na
2008-11-14	12:00	0.00052559	na
2008-11-15	12:00	0.00051042	na
2008-11-16	12:00	0.00048990	na
2008-11-17	12:00	0.00046700	na
2008-11-18	12:00	0.00051239	na
2008-11-19	12:00	0.00050584	na
2008-11-20	12:00	0.00057873	na
2008-11-21	12:00	0.00060428	na
2008-11-22	12:00	0.00060702	na
2008-11-23	12:00	0.00054199	na
2008-11-24	12:00	0.00049654	na
2008-11-25	12:00	0.00044822	na
2008-11-26	12:00	0.00042982	na
2008-11-27	12:00	0.00040792	na
2008-11-28	12:00	0.00038376	na
2008-11-29	12:00	0.00038725	na
2008-11-30	12:00	0.00035633	na
2008-12-01	12:00	0.00034753	na
2009-01-07	12:00	0.00035018	na
2009-01-08	12:00	0.00029847	na
2009-01-09	12:00	0.00032163	na
2009-01-10	12:00	0.00035448	na
2009-01-11	12:00	0.00038966	na
2009-01-12	12:00	0.00040172	na
2009-01-13	12:00	0.00043007	na
2009-01-14	12:00	0.00046382	na
2009-01-15	12:00	0.00047447	na
2009-01-16	12:00	0.00049234	na
2009-01-17	12:00	0.00044454	na
2009-01-18	12:00	0.00040845	na
2009-01-19	12:00	0.00035415	na
2009-01-20	12:00	0.00033990	na
2009-01-21	12:00	0.00033708	na
2009-01-22	12:00	0.00035049	na
2009-01-23	12:00	0.00035806	na
2009-01-24	12:00	0.00036605	na
2009-01-25	12:00	0.00037847	na
2009-01-26	12:00	0.00035197	na
2009-01-27	12:00	0.00035387	na
2009-01-28	12:00	0.00355279	na
2009-01-29	12:00	0.00588802	na
2009-01-30	12:00	0.308922	na
2009-01-31	12:00	0.136349	na
2009-02-01	12:00	0.0261557	na
2009-02-05	12:00	0.0209467	na
2009-02-06	12:00	0.0189772	na
2009-02-07	12:00	0.0163636	na
2009-02-08	12:00	0.019291	na
2009-02-09	12:00	0.0157949	na
2009-02-12	12:00	0.0165826	na
2009-02-13	12:00	0.0179883	na
2009-02-14	12:00	0.0474795	na
2009-02-15	12:00	0.0218678	na
2009-02-16	12:00	0.0192606	na
2009-02-17	12:00	0.0157865	na
2009-02-18	12:00	0.0160871	na
2009-02-19	12:00	0.0174785	na
2009-02-20	12:00	0.0193593	na
2009-02-21	12:00	0.0274907	na
2009-02-22	12:00	0.0239106	na
2009-02-23	12:00	0.0210163	na
2009-02-24	12:00	0.0216147	na
2009-02-25	12:00	0.0249057	na
2009-02-26	12:00	0.0224584	na
2009-02-27	12:00	0.0196459	na
2009-02-28	12:00	0.0175254	na
2009-03-01	12:00	0.0138415	na
2009-03-02	12:00	0.0232758	na
2009-03-03	12:00	0.0231983	na
2009-03-04	12:00	0.0151579	na
2009-03-05	12:00	0.0128471	na
2009-03-06	12:00	0.0112325	na
2009-03-07	12:00	0.00971839	na
2009-03-08	12:00	0.00879616	na
2009-03-09	12:00	0.00817788	na
2009-03-10	12:00	0.00763011	na
2009-03-11	12:00	0.00727622	na
2009-03-12	12:00	0.00848899	na
2009-03-13	12:00	0.00978274	na
2009-03-14	12:00	0.0103797	na
2009-03-15	12:00	0.00909219	na
2009-03-16	12:00	0.0125031	na
2009-03-17	12:00	0.0150793	na
2009-03-18	12:00	0.0159298	na
2009-03-19	12:00	0.0137981	na
2009-03-20	12:00	0.0125214	na
2009-03-21	12:00	0.0113998	na
2009-03-22	12:00	0.0110916	na
2009-03-23	12:00	0.0109914	na
2009-03-24	12:00	0.0115219	na
2009-03-25	12:00	0.0104683	na
2009-03-26	12:00	0.0101202	na
2009-03-27	12:00	0.00968884	na
2009-03-28	12:00	0.0101765	na
2009-03-29	12:00	0.00949227	na
2009-03-30	12:00	0.00905908	na
2009-03-31	12:00	0.00761809	na
2009-04-01	12:00	0.00815341	na
2009-04-02	12:00	0.00769218	na
2009-04-03	12:00	0.00710979	na
2009-04-04	12:00	0.00698406	na
2009-04-05	12:00	0.00679351	na
2009-04-06	12:00	0.00647046	na
2009-04-07	12:00	0.00607353	na
2009-04-08	12:00	0.00590488	na
2009-04-09	12:00	0.00564413	na
2009-04-10	12:00	0.00544241	na
2009-04-11	12:00	0.0049828	na
2009-04-12	12:00	0.004665	na
2009-04-13	12:00	0.00433372	na
2009-04-14	12:00	0.00401206	na
2009-04-15	12:00	0.00367538	na
2009-04-16	12:00	0.00338719	na
2009-04-17	12:00	0.00309145	na
2009-04-18	12:00	0.00280756	na
2009-04-19	12:00	0.00249364	na
2009-04-20	12:00	0.0031261	na
2009-04-21	12:00	0.00294396	na
2009-04-22	12:00	0.00266448	na
2009-04-23	12:00	0.00245045	na
2009-04-24	12:00	0.00220307	na
2009-04-25	12:00	0.00206416	na
2009-04-26	12:00	0.00199722	na
2009-04-27	12:00	0.00186481	na
2009-04-28	12:00	0.0018075	na
2009-04-29	12:00	0.00167484	na
2009-04-30	12:00	0.00153072	na
2009-05-01	12:00	0.00141534	na
2009-05-02	12:00	0.00131751	na
2009-05-03	12:00	0.00121104	na
2009-05-04	12:00	0.00113544	na
2009-05-05	12:00	0.00101482	na
2009-05-06	12:00	0.00081649	na
2009-05-07	12:00	0.00070599	na
2009-05-11	12:00	0.00063984	na
2009-05-12	12:00	0.00058838	na
2009-05-13	12:00	0.00055018	na
2009-05-14	12:00	0.00052815	na
2009-05-15	12:00	0.00050828	na
2009-05-16	12:00	0.00146558	na
2009-05-17	12:00	0.00162272	na
2009-05-18	12:00	0.00123906	na
2009-05-20	12:00	0.001257	na
2009-05-21	12:00	0.00107993	na
2009-05-22	12:00	0.00087478	na
2009-05-23	12:00	0.00060135	na
2009-05-24	12:00	0.00048223	na
2009-05-25	12:00	0.00044084	na
2009-05-26	12:00	0.00092005	na
2009-05-27	12:00	0.00086444	na
2009-05-28	12:00	0.00080948	na
2009-05-29	12:00	0.00175691	na
2009-05-30	12:00	0.00172545	na
2009-05-31	12:00	0.00142936	na
2009-06-01	12:00	0.00127435	na
2009-06-02	12:00	0.00118136	na
2009-06-03	12:00	0.00125435	na
2009-06-04	12:00	0.00115412	na
2009-06-05	12:00	0.0010854	na
2009-06-06	12:00	0.00097915	na
2009-06-07	12:00	0.00091685	na
2009-06-08	12:00	0.00090542	na
2009-06-09	12:00	0.00087530	na
2009-06-10	12:00	0.00086974	na
2009-06-11	12:00	0.00117731	na
2009-06-12	12:00	0.00096144	na
2009-06-13	12:00	0.00116157	na
2009-06-14	12:00	0.00127031	na
2009-06-15	12:00	0.00120307	na
2009-06-16	12:00	0.00125032	na
2009-06-17	12:00	0.00129514	na
2009-06-18	12:00	0.00133259	na
2009-06-19	12:00	0.0013341	na
2009-06-20	12:00	0.00130421	na
2009-06-21	12:00	0.00127408	na
2009-06-22	12:00	0.00131719	na
2009-06-23	12:00	0.00136186	na
2009-06-24	12:00	0.00137973	na
2009-06-25	12:00	0.00128107	na
2009-06-26	12:00	0.00125668	na
2009-06-27	12:00	0.00119268	na
2009-06-28	12:00	0.00120184	na
2009-06-29	12:00	0.00117489	na
2009-06-30	12:00	0.00117169	na
2009-07-01	12:00	0.00118725	na
2009-07-02	12:00	0.00118174	na
